,,1 - A (Maj odd),,,0 - seq,,DATA,,
,Trial,Chord,Sus,Amp,IsSim,IsMajor,Valence,Arousal,Notes
,1,0,1,1,1,0,0,0,simultaneous vs sequential - six major chords
,2,0,1,1,0,0,0,0,simultaneous vs sequential - six major chords
1,3,1,1,1,0,1,-1,1,
2,4,3,1,1,1,1,-2,1,did not like that
3,5,3,1,1,0,1,0,1,
4,6,5,1,1,0,1,-1,2,
5,7,1,1,1,0,1,-2,-2,
6,8,1,1,1,1,1,-2,-1,
7,9,3,1,1,1,1,-2,-2,
8,10,5,1,1,0,1,1,2,
9,11,5,1,1,1,1,0,-1,
10,12,7,1,1,0,1,-2,1,
11,13,7,1,1,1,1,-2,-2,
12,14,9,1,1,1,1,-2,2,does not like the long hold simultaneous
13,15,9,1,1,0,1,-1,2,
14,16,7,1,1,0,1,-1,2,
15,17,5,1,1,0,1,0,1,
16,18,5,1,1,1,1,-2,2,
,,,,,,,,,
Sim,V,,,,,,Seq,,
1,-2.00,1.00,,,,,1,-1.00,1.00
2,-2.00,-1.00,,,,,2,0.00,1.00
3,-2.00,-2.00,,,,,3,-1.00,2.00
4,0.00,-1.00,,,,,4,-2.00,-2.00
5,-2.00,-2.00,,,,,5,1.00,2.00
6,-2.00,2.00,,,,,6,-2.00,1.00
7,-2.00,2.00,,,,,7,-1.00,2.00
,,,,,,,8,-1.00,2.00
,,,,,,,9,0.00,1.00
