Trial,Chord 1,Sus 1,Amp 1,IsSim 1,IsMajor,Chord 2,Sus 2,Amp 2,IsSim 2,IsMajor,Valence,Arousal,Notes
1,0,0,0,0,0,0,0,0,0,0,0,0,testing two, figuring out things with sustain
2,1,0,1,0,1,1,1,1,0,1,-1,1,
3,1,1,1,0,1,1,2,1,0,1,2,1,
4,3,1,1,0,1,3,0,1,0,1,0,2,
5,3,2,1,0,1,3,2,1,0,1,0,0,
6,5,1,1,0,1,5,2,1,0,1,0,-1,
7,5,2,1,0,1,5,0,1,0,1,1,2,
8,5,1,1,0,1,5,1,1,0,1,1,-1,
9,5,0,1,0,1,5,1,1,0,1,2,-2,
10,1,0,1,0,1,1,1,1,0,1,2,1,
11,1,1,1,0,1,1,0,1,0,1,0,0,
12,1,1,1,0,1,1,2,1,0,1,1,1,
13,1,2,1,0,1,1,0,1,0,1,-2,2,
14,5,2,1,0,1,1,0,1,0,1,2,-2,
